NaN,NaN,NaN,NaN,NaN,12.5,NaN,0.0025,NaN,NaN,0.076923,5625,43.25,58.677,156.49,0.0425,NaN,0.89563,NaN,20.5,436.31,423.31,290.43,NaN,NaN,NaN,9733,16.714,NaN,NaN,1.1229,NaN,NaN,5.60E+05,10.112,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,1,1,1,0.054054,0,NaN,1,NaN,0,0.85294,0.47059,0.29412,NaN,NaN,NaN,0,0.57143,NaN,NaN,0.78571,NaN,NaN,NaN,0.5,NaN,0,6,1
NaN,NaN,NaN,NaN,NaN,32.667,NaN,0.069167,163.34,0.1729,12.733,1070.5,4.9167,269.67,45.382,0.2825,NaN,2.5656,265.18,20,254.82,335.65,299.25,24.857,31101,0.001275,15625,NaN,3.9167,342.46,0.97087,NaN,NaN,4.08E+05,23.616,22.638,NaN,NaN,NaN,NaN,NaN,0.33333,NaN,0.33333,0.57353,0,0,0.5,0.33333,1,0,0,NaN,1,0.19403,0,0.5,0.21429,0.42857,0.57143,0.71429,0.125,0.2,NaN,0.16667,0.5,0.80435,NaN,NaN,NaN,0.66667,NaN,1,16,8
3.1025,1417,4420,33481,3.451,75,NaN,0.17583,75.875,0.10553,83.692,1297,20.917,134.04,144.76,4.9305,0.18667,0.94262,82.313,8.6667,141.62,98.603,856.88,23,7269.3,0.01125,44536,NaN,6.25,587.38,1.3829,NaN,NaN,9100,7.6692,0,1,0,1,1,1,0.66667,NaN,1,0.25,0,0,1,1,1,0.074074,0.8,0,1,0,0,0.44737,0,0.84211,0.25,1,1,1,NaN,0,0.75,0.71429,NaN,NaN,NaN,0,NaN,1,21,11
0.0225,625,110.25,81,0.71402,52.667,NaN,0.0425,NaN,NaN,0.055556,388.67,51.583,59.981,140.18,0.089167,NaN,1.5923,NaN,5.6667,64.181,75.881,358.59,NaN,NaN,NaN,2920.7,32.068,NaN,NaN,0.55462,NaN,NaN,45104,6.9625,0,0,0,0,0,0,0.33333,NaN,0,NaN,NaN,0,0.66667,1,0.85714,0.083333,0,NaN,1,NaN,0,0.18966,0.017241,0.53448,NaN,NaN,NaN,0,0.74576,NaN,NaN,0.38462,NaN,NaN,NaN,0.33333,NaN,0,7,1
0.9025,NaN,NaN,NaN,NaN,584,NaN,0.0625,NaN,NaN,0,116.5,3.25,119.36,79.833,0.7225,NaN,0.60313,NaN,2.5,718.25,311.75,972.95,NaN,NaN,NaN,38845,11.125,NaN,NaN,0.21333,NaN,NaN,7573.7,8.9525,0,1,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,0,0.5,0,1,0,0.2,NaN,1,NaN,0,0.95349,0.25581,0.90698,NaN,NaN,NaN,1,0.52083,NaN,NaN,0.2,NaN,NaN,NaN,0,NaN,0,17,2
NaN,441,956.25,9786.5,0.41602,16.25,12544,0.0675,82.339,0.0681,41,13038,1.25,67.263,135.89,0.36583,NaN,1.5646,139.22,14.25,343.25,476.94,576.25,42.857,1498.5,0.0031571,9722.8,NaN,1.05,488.78,1.1022,NaN,NaN,1.18E+06,99.498,0,NaN,0,0.5,1,0,0,1,0.25,0.33333,0,0,1,0,0.75,0.021277,0.33333,NaN,1,0.088889,0,1,0.5,1,0.42857,0.57143,0.42857,0,NaN,0,0.62222,0.77778,NaN,NaN,NaN,1,NaN,1,14,11
NaN,NaN,NaN,NaN,NaN,384.5,NaN,8.2075,275.25,NaN,0,86.5,18.917,72.007,179.36,0.3675,NaN,1.2656,868.92,4.6667,305.11,692.05,4621.7,NaN,NaN,NaN,907.67,50,NaN,4725.5,0.14,NaN,NaN,4959.8,0.83583,0,NaN,NaN,NaN,NaN,NaN,1,NaN,1,0.48148,NaN,0,0.25,0.66667,1,0.084746,0.25,NaN,1,0.45283,0,0.42857,0.71429,1,NaN,NaN,NaN,0,0.93333,NaN,0.94444,0.076923,NaN,NaN,NaN,0,NaN,0,14,4
5.5225,1089,841,3844,0.55502,2741.2,NaN,0.0185,961.65,0.13065,18.846,754.2,53.45,46.19,234.01,0.1025,0.14625,4.589,723.23,5,1640.9,1322.7,275.6,114.93,5377.7,0.020093,41500,NaN,3.05,702.82,0.195,NaN,NaN,6434.4,171.77,0,1,0,1,1,0,1,NaN,0,1,0,0,1,0.8,1,0.20548,0,0.125,1,0.73333,0,1,0.93023,0.23256,0.86667,0.8,0.66667,1,NaN,0.2,0.71667,0.13889,NaN,NaN,NaN,1,NaN,1,19,8
NaN,NaN,NaN,NaN,NaN,82,NaN,0.0025,NaN,NaN,0,156.5,10.25,136.89,2254.1,0.0925,NaN,0.76812,NaN,4,108.55,108.24,538.99,NaN,NaN,NaN,1.57E+05,246.93,NaN,NaN,0.048,NaN,NaN,10000,63.202,0,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,0,1,0.5,1,1,0,NaN,1,NaN,0,0.34783,0.043478,0.67391,NaN,NaN,NaN,1,0.97826,NaN,NaN,0,NaN,NaN,NaN,1,NaN,0,11,NaN
NaN,NaN,NaN,NaN,NaN,44.333,NaN,0.049167,166.64,0.2481,4.25,116,18.917,256.45,91.017,0.0725,NaN,1.0506,187.16,2,288.25,254.35,441.25,36.625,35576,0.00288,23884,NaN,1.5833,795.82,0.533,NaN,NaN,13826,9.9225,14.152,NaN,NaN,NaN,NaN,NaN,0.33333,NaN,0.33333,0.53571,0,0,0.5,0.66667,1,0,0,NaN,1,0.16071,0,1,0.5,0.5,0.5,1,0.3,0.66667,NaN,0,0.57143,0.36667,NaN,NaN,NaN,0.33333,NaN,1,14,6
